content,score,Label
Sudah bagus permainannya dan plg sesuai untuk org yg suka main sendiri 👍,5,Positive
tolong adakan fitur skip,2,Negative
"Acheron grafik nya keren bangt bro,yg tdk download akan menyesal",5,Positive
MAKASIH BANSOSNYA!!,5,Positive
Rekomen!! F2P frendly... Semoga menang rate off banner acheron :3,5,Positive
"updatee macam apaa inii, udahlah lawan boss judi... hoki hokian dapat angka dadu...bahkan sampai gak dapet turn cuman mutar dadu terus sampee mati, otak judi",1,Negative
mau gua bintang 5 tapi pas gua ganti grafik rata kanan kenapa sinyal selalu merah,4,Positive
"Rpg turnbase yang paling oke sih sejauh ini muehehehe, dan rajin bansos xixixi...",5,Positive
"Gila cuy ternya gak story nya aja yang banyak dan bagus, ternyata bansos nya juga banyak yang bagus bagus, ga nyangka ada game sebaik ini🤩",5,Positive
Best!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5,Positive
GHBNMERUIO🙏😭😭😭😭,5,Positive
"awet awet game baik, tambah husbu ganteng donk 😆",5,Positive
good,5,Positive
"Bagus grafik nya, tapi saya mohon ya kepada Dawei untuk menghidupkan Robin kembali dan saya jujur sih gak terima kalau Firefly hidup lagi, dan kalau bisa Firefly nya mati sekali lagi.",5,Positive
sehat sehat gem baik 🥰,5,Positive
